IID,cluster
HORUS003991270613,0
HORUS003910310832,0
HORUS003992569379,0
HORUS003992567910,0
HORUS007200121957,0
HORUS007200121938,0
HORUS003910310910,0
HORUS003910310126,0
HORUS003992568535,0
HORUS003910310410,1
HORUS003992568228,0
HORUS003910310250,0
HORUS003910310871,0
HORUS007200121196,0
HORUS003992568823,0
HORUS007200120081,0
HORUS003992568068,0
HORUS003912556961,0
HORUS003992567975,0
HORUS007200122000,0
HORUS007200122009,0
HORUS003912557498,0
HORUS007200121536,0
HORUS007200120153,0
HORUS007200121209,0
HORUS003912557584,1
HORUS003992568240,1
HORUS003910310205,1
HORUS003912556941,0
HORUS007200121958,0
HORUS003910310912,0
HORUS007200119996,0
HORUS003910310419,1
HORUS003992569383,0
HORUS003912557055,0
HORUS007200121191,0
HORUS003910310295,0
HORUS003992568805,0
HORUS007200120142,0
HORUS007200122008,0
HORUS003992568417,0
HORUS003991270599,0
HORUS003912557130,1
HORUS003992568004,0
HORUS003910310234,1
HORUS003992568900,0
HORUS003991270860,0
HORUS003910310500,0
HORUS007200119755,0
HORUS003991270414,0
HORUS003991270441,0
HORUS003991270837,0
HORUS003910310913,0
HORUS007200121189,0
HORUS003910310370,0
HORUS003991270381,0
HORUS007200120150,0
HORUS007200121997,0
HORUS003992569247,0
HORUS007200119969,0
HORUS003910310299,0
HORUS007200121944,0
HORUS003912557017,0
HORUS003992568354,1
HORUS003910309615,0
HORUS003991270725,0
HORUS003992569487,0
HORUS007200121208,0
HORUS003992569384,0
HORUS003992569522,0
HORUS003910310454,0
HORUS003912557462,1
HORUS007200119976,0
HORUS003992568210,1
HORUS003991270693,0
HORUS003991270580,0
HORUS003991270242,0
HORUS003991271098,1
HORUS003992567902,0
HORUS003992568115,0
HORUS003992568804,0
HORUS003912556581,0
HORUS003912556484,0
HORUS003991270248,0
HORUS003991270884,0
HORUS003912557178,1
HORUS003992569972,1
HORUS003910310200,0
HORUS003992568521,0
HORUS003992567803,0
HORUS007200119918,0
HORUS003992568944,0
HORUS003910310203,1
HORUS007200122019,0
HORUS003910310808,1
HORUS003991271009,0
HORUS003991270908,0
HORUS003992568227,0
HORUS003992568854,0
HORUS007200120038,0
HORUS003992568208,0
HORUS003992567931,0
HORUS003910310694,1
HORUS007200119983,0
HORUS003992570003,0
HORUS003912557307,0
HORUS003910310474,1
HORUS003912557123,0
HORUS003992568978,0
HORUS003992569378,0
HORUS007200121939,0
HORUS007200117978,0
HORUS003992568367,0
HORUS007200119997,0
HORUS003910310928,0
HORUS007200120061,0
HORUS003910311012,0
HORUS003991271037,1
HORUS003992569558,0
HORUS003992568433,0
HORUS007200119973,0
HORUS003992568447,0
HORUS007200117984,0
HORUS003910310192,0
HORUS003992568678,0
HORUS007200121194,0
HORUS003992569621,0
HORUS003910310765,0
HORUS003992570047,0
HORUS007200120246,0
HORUS003992568936,0
HORUS003910309747,0
HORUS007200121443,0
HORUS007200119988,0
HORUS003910310133,0
HORUS007200120071,0
HORUS003910310435,1
HORUS007200118781,0
HORUS003912556850,0
HORUS003910309660,0
HORUS003912557562,0
HORUS003910310644,0
HORUS003992568891,1
HORUS003992567903,0
HORUS007200119879,0
HORUS003992569250,0
HORUS003991271012,0
HORUS007200119916,0
HORUS003991270340,0
HORUS003992568542,0
HORUS003910310238,1
HORUS003912557468,1
HORUS007200122018,0
HORUS003992569573,0
HORUS007200121195,0
HORUS003992569210,0
HORUS007200121417,0
HORUS003992568923,0
HORUS003992567894,0
HORUS007200121210,0
HORUS003910310950,0
HORUS003910310659,1
HORUS007200119935,0
HORUS007200121197,0
HORUS003910310827,1
HORUS003910309762,0
HORUS003992568395,0
HORUS003910310244,1
HORUS003910309843,0
HORUS007200121940,0
HORUS003992568448,0
HORUS007200121206,0
HORUS003992567959,0
HORUS003912556461,0
HORUS003992570019,0
HORUS007200121937,0
HORUS003992569488,0
HORUS003912556757,0
HORUS003912556914,0
HORUS003991271090,0
HORUS003991270572,0
HORUS007200120139,0
HORUS003991270724,0
HORUS003992568763,0
HORUS003910309693,0
HORUS003992569429,0
HORUS003992568797,0
HORUS003992568815,0
HORUS003992569400,0
HORUS003912556875,0
HORUS007200121504,0
HORUS007200121528,0
HORUS007200119865,0
HORUS007200121435,0
HORUS003991270791,1
HORUS003910309710,0
HORUS007200119884,0
HORUS007200121202,0
HORUS003912557536,1
HORUS003992569390,0
HORUS007200122014,0
HORUS003991270868,0
HORUS003991270979,1
HORUS007200120110,0
HORUS003991270971,1
HORUS003912556556,0
HORUS003991270605,0
HORUS003912556720,0
HORUS003991270707,0
HORUS003910309855,0
HORUS003991270358,0
HORUS007200121561,0
HORUS003992568170,0
HORUS003991270930,1
HORUS003910308717,0
HORUS003992568880,0
HORUS002100510829,0
HORUS004861042166,0
HORUS004861041611,0
HORUS12AA001DPVJ4,0
HORUS003912557315,0
HORUS003912556741,0
HORUS007200117015,0
HORUS004861043115,0
HORUS002100911125,0
HORUS003992569435,0
HORUS003912557261,0
HORUS004861042184,0
HORUS007200121395,0
HORUS007200121080,0
HORUS000039969723,0
HORUS12AA003DEVY2,0
HORUS12AA001D8VO2,0
HORUS003912557378,0
HORUS12AA003DE4A4,0
HORUS004861042211,0
HORUS007100039571,0
HORUS12AA003DF1F5,0
HORUS007200120433,0
HORUS003912557369,0
HORUS003992570225,0
HORUS004861041404,0
HORUS003912556465,0
HORUS007100039631,0
HORUS003912557262,1
HORUS004861041808,0
HORUS12AA002CSK92,0
HORUS004861040759,0
HORUS006600008779,0
HORUS12AA0027CUA0,0
HORUS007200116742,0
HORUS004861042998,0
HORUS007200118770,0
HORUS12AA003DDFV6,0
HORUS002100004923,0
HORUS003992568970,0
HORUS007200117009,0
HORUS007200121917,0
HORUS12AA001LUKZ5,0
HORUS003992569827,0
HORUS003991270561,0
HORUS006600004050,0
HORUS007200117254,0
HORUS006600003656,0
HORUS003991270739,1
HORUS003992568177,0
HORUS003992568795,1
HORUS003992570107,0
HORUS007100039540,0
HORUS003992569209,0
HORUS003992569665,0
HORUS007200121609,0
HORUS003991271053,0
HORUS007100039549,0
HORUS007200120415,0
HORUS007200120983,0
HORUS003910310397,0
HORUS004861041538,0
HORUS007100039855,0
HORUS12AA0020TMS5,0
HORUS003910309591,0
HORUS007200120518,0
HORUS003991271060,0
HORUS003910310733,1
HORUS004861041453,0
HORUS003992569261,0
HORUS007200121626,0
HORUS12AA0039N5L4,0
HORUS007200120298,0
HORUS003992568242,0
HORUS004861042090,0
HORUS003992569341,0
HORUS007200119893,0
HORUS007200121934,0
HORUS007200121091,0
HORUS007200116713,0
HORUS004861042250,0
HORUS002100004995,0
HORUS004861040439,0
HORUS003912557470,1
HORUS003992570289,0
HORUS003991270730,0
HORUS003912557360,0
HORUS006600004037,0
HORUS003910310529,0
HORUS004861042516,0
HORUS003992569454,0
HORUS12AA0033CLJ3,0
HORUS003912557419,0
HORUS12AA001EDJL5,0
HORUS007200121668,0
HORUS003912557046,0
HORUS12AA0036SA69,0
HORUS006600008756,0
HORUS004861040971,0
HORUS003992569451,0
HORUS003992567810,0
HORUS007200116787,0
HORUS007100039384,0
HORUS007200121749,0
HORUS004861040786,0
HORUS003992567864,0
HORUS004861040807,0
HORUS12AA0036SBD0,0
HORUS003992568056,0
HORUS003991270481,0
HORUS12AA001LUC73,0
HORUS007200121932,0
HORUS007200121898,0
HORUS007200121415,0
HORUS004861040443,0
HORUS007200120397,0
HORUS007200121264,0
HORUS007100039620,0
HORUS004861040925,0
HORUS003992567881,0
HORUS003992567909,0
HORUS003912556951,0
HORUS003992569055,0
HORUS004861041319,0
HORUS004861043011,0
HORUS007100039902,0
HORUS003991270786,0
HORUS003912556517,0
HORUS007200121413,0
HORUS003992568226,0
HORUS007200120606,0
HORUS003910310167,0
HORUS006600003706,0
HORUS004861043023,0
HORUS003992570379,0
HORUS004861043088,0
HORUS004861040805,0
HORUS004861042051,0
HORUS006992569176,0
HORUS007200120470,0
HORUS003991270356,0
HORUS007200119960,0
HORUS003910310278,0
HORUS003992569930,0
HORUS002100711006,0
HORUS003910309786,0
HORUS003912557392,0
HORUS003912556893,0
HORUS007200118688,0
HORUS003992568339,0
HORUS003991270738,1
HORUS002100004764,0
HORUS003912556532,0
HORUS12AA0033C4K5,0
HORUS003910309853,0
HORUS007200118668,0
HORUS003991270852,1
HORUS003991270366,0
HORUS004861043134,0
HORUS007200120303,0
HORUS12AA001DOXN6,0
HORUS003991270490,0
HORUS12AA002ALO37,0
HORUS003992570182,0
HORUS004861041635,0
HORUS007200118216,0
HORUS003992568743,0
HORUS002100610925,0
HORUS004861040521,0
HORUS003992569942,0
HORUS003910310268,1
HORUS004861042900,0
HORUS003910309704,0
HORUS004861041854,0
HORUS003991270564,0
HORUS003992569252,0
HORUS003992569053,0
HORUS008720012042,0
HORUS004861042118,0
HORUS12AA001DA2C4,0
HORUS12AA0020B8L6,0
HORUS007100039473,0
HORUS003992569918,0
HORUS007200120371,0
HORUS007200117933,0
HORUS003910310272,0
HORUS007200116714,0
HORUS006600003576,0
HORUS002100210909,0
HORUS007200116761,0
HORUS007200120492,0
HORUS003910310864,0
HORUS003992569915,0
HORUS12AA001DPRO8,0
HORUS003910310713,0
HORUS003912557485,1
HORUS007200121399,0
HORUS003910310835,0
HORUS004861041559,0
HORUS003912556415,0
HORUS004861041689,0
HORUS007100039219,0
HORUS003910309750,0
HORUS003991270591,0
HORUS006600004044,0
HORUS007200116538,0
HORUS004861041513,0
HORUS003912557118,0
HORUS003992569502,0
HORUS003992568380,1
HORUS007200116639,0
HORUS12AA001DOHI2,0
HORUS002100004909,0
HORUS007200121962,0
HORUS006600003426,0
HORUS003912557573,1
HORUS007200121805,0
HORUS12AA003H13W8,0
HORUS12AA001E5DV1,0
HORUS007200119667,0
HORUS003992570209,0
HORUS007200119885,0
HORUS003992569517,0
HORUS004861041654,0
HORUS12AA0036K2P8,0
HORUS003992569981,0
HORUS002100210510,0
HORUS004861040839,0
HORUS004861040504,0
HORUS003912557565,0
HORUS003992569412,0
HORUS003992570034,0
HORUS002100004578,0
HORUS006600003988,0
HORUS006600007005,0
HORUS007200121375,0
HORUS003991270280,0
HORUS007200117368,0
HORUS003991271104,1
HORUS004861042142,0
HORUS006600008763,0
HORUS007200121160,0
HORUS003910310067,0
HORUS003910310764,1
HORUS004861042547,0
HORUS007200116954,0
HORUS007200121680,0
HORUS007200121326,0
HORUS007200120481,0
HORUS006600003386,0
HORUS007200121218,0
HORUS003910310265,0
HORUS003992568595,1
HORUS003992568874,0
HORUS002100211205,0
